collector	stable-size-align-offset-inventory
rustc	rustc 1.97.1 (8bab26f4f 2026-07-14)
format	nudox-layout-baseline-v1
target_arch	aarch64
target_os	macos
pointer_width	64
cache_line_assumption_bytes	64
columns	kind	family	type	size_bytes	align_bytes	cache_lines	contract
offset	PlanCoverage	missing	24
offset	StoreCapacity	bytes	0
offset	StoreCapacity	slots	8
offset	StoreStats	capacity	0
offset	StoreStats	index_buckets	16
offset	StoreStats	index_bytes	24
offset	StoreStats	current_bytes	40
offset	StoreStats	current_slots	48
offset	WorkflowEvent	version	0
offset	WorkflowEvent	key	2
offset	WorkflowEvent	kind	34
